isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9781564651587	A Dog Owner's Guide to Training Your Dog	Palmer, Joan	Tetra Press	1993	636.0		home_garden_animal_care_pets_dogs
9780449908815	Danger zones	Beauman, Sally	Fawcett Columbine	1996	823.914	PR6052	fashion_fiction|detective_and_mystery_stories
9780027366600	Branigan's Dog	Grace, Fran	Atheneum	1981			
9780439155311	Beautiful You!	Stacy, Lori	Scholastic	2000	646.7046		childrens_books_science_nature_how_it_works_health
9781558704411	The Crafts Supply Sourcebook: A Comprehensive Shop-by-Mail Guide for Thousands of Craft Materials	Boyd, Margaret Ann	Betterway Books	1996	745.5029473		home_garden_crafts_hobbies
9780553095098	Deception	Quick, Amanda	Bantam Books	1993	813.54	PS3561	romantic_suspense_novels|historical_fiction|love_stories
9780866051514	A Skeptics Quest	Musser, Joe	Thomas Nelson Publishers	1984			nonfiction_philosophy_general|nonfiction_philosophy_general_aas
9780151585885	The meeting at Telgte	Grass, Gnter	Harcourt Brace Jovanovich	1981	833.914	PT2613	
9780813511771	Raising a baby the government way	Ladd-Taylor, Molly	Rutgers University Press	1986			child_rearing_united_states_history_miscellanea|motherhood_united_states_miscellanea|pregnancy_miscellanea
9780877770343	P. S. your not listening	Craig, Eleanor	R. W. Baron	1972	371.94	LC4169	mentally_ill_children_education
9780590412469	The Taking of Mariasburg	Thompson, Julian F.	Point	1989			childrens_books_literature_general
9780967200606	Northwoods pulp	Sparrow, Thomas	Bluestone Press	1999			minnesota_fiction
9782912517067	L'invitation � la vie conjugale	Huth, Angela	Quai Voltaire	1998			
9780373077373	Michael'S House	Warren, Pat|Cox, Patricia	Silhouette	1996	813.0		romance_authors_a_z_w_warren_pat|romance_contemporary|romance_series_silhouette_intimate_moments|romance_regency
9780385468787	101 things you can do for our children's future	Louv, Richard	Anchor Books	1994			children_united_states_social_conditions|children_government_policy_united_states|family_policy_united_states
9780694003211	Maggie Simpson's Book of Animals	Maggie Groening|Groening, Matt	Harpercollins Childrens Books	1991	591.0		childrens_books_baby_3|childrens_books_ages_4_8|teens_series_the_simpsons
9780679882596	Xena Warrior Princess: Princess in Peril	Kerry Milliron	Random House Books for Young Readers	1996			childrens_books_action_adventure|science_fiction_fantasy
9780451209191	Midsummer Magic	Coulter, Catherine	Signet Book	2003			
9781577656760	Adventures of Huckleberry Finn	Twain, Mark|Laiken, Deidre S.|Pablo Marcos Studio	Abdo Publishing Company	2002			amazon_com_childrens_books_literature_action_adventure|amazon_com_childrens_books_literature_classics_by_age_genera|amazon_com_literature_fiction_world_literature_united__aaaa4|amazon_com_childrens_books_ages_9_12_general|amazon_com_literature_fiction_world_literature_united__aaaa5|amazon_com_childrens_books_authors_illustrators_a_z_t_twain_|amazon_com_literature_fiction_authors_a_z_t_twain_mark_gener
9780688111274	Mr. Food cooks like Mama	Art Ginsburg	Morrow	1992		TX714	cookery
9781879288720	The Book of Margery Kempe	Kempe, Margery|Staley, Lynn	University of Michigan Press	1996	248.2092		biographies_memoirs_arts_literature_authors|biographies_memoirs_specific_groups_women|biographies_memoirs_general|literature_fiction_world_literature_british_general|religion_spirituality_other_practices_mysticism
9780140351323	Under the Lilacs	Alcott, Louisa M.	Puffin	1991			childrens_books_people_places_social_issues|teens_literature_fiction_classics|teens_social_issues
9780684834795	Kindling the flame	Israeloff, Roberta	Simon & Schuster	1998		BM726	israeloff_roberta_1952_religion|jewish_women_united_states_religious_life|judaism_united_states|jews_united_states_social_life_and_customs
9780140192469	The sleepwalkers	Koestler, Arthur	Penguin	1990	523.101		amazon_com_religion_spirituality_new_age_general|amazon_com_religion_spirituality_occult_general|amazon_com_religion_spirituality_religious_studies_science_r|amazon_com_science_astronomy_cosmology|amazon_com_science_astronomy_universe|amazon_com_professional_technical_professional_science_aaab5|cosmology_history_20th_century
9780759232464	Castle Murders	DeChancie, John	eReads.com	2003			
9780316316200	The 60th monarch	Glemser, Bernard	Little, Brown	1974	813.54	PZ3	
9780671559250	With mercy toward none	Cook, Glen	Baen	1985			
9781562941420	How On Earth Do We Recycle Met	Kouhoupt And Marti	Millbrook Press	1992	669.0		childrens_books_literature|childrens_books_science_nature_how_it_works_environmen_aaaa0|childrens_books_science_nature_how_it_works_health_diseases|professional_technical_engineering
9781557733979	The Baby	Kegan, Stephanie	Diamond/Charter	1990	813.54		literature_fiction_genre_fiction_horror
9780517122266	10, 000 garden questions answered by 20 experts	Dietz, Marjorie J.|Rockwell, F. F.	Wings Books	1994	635.0	SB453	gardening_miscellanea
9781570640711	What Can It Be?: A Barney Book and Tape	White, Stephen|Sharp, Chris|David McGlothlin	Barney Publishing	1996			mystery_thrillers_authors_a_z_w_white_stephen
9780877951995	Starett	Deutcsh, Arthur V.	Arbor House	1978		PS3554	
9781559343794	Human Motor Development	Isaacs, Larry D.	Mayfield Pub Co	1995	155.4123		health_mind_body_psychology_counseling_developmental_psychol|health_mind_body_psychology_counseling_neuropsychology|health_mind_body_psychology_counseling_general
9780889104624	The girl wants to	Crosbie, Lynn	Coach House Press	1994	810.803538		erotic_literature_canadian|erotic_literature_american|erotic_literature_women_authors|women_sexual_behavior_literary_collections|canadian_literature_20th_century|american_literature_20th_century
9780553486025	No escape!	Suzanne, Jamie|Pascal, Francine	Bantam	1998			caves_juvenile_fiction|caving_juvenile_fiction|adventure_stories
9780395416495	Diary of a yuppie	Auchincloss, Louis	Houghton Mifflin	1986	813.54	PS3501	
9780449243114	The Spinoza of Market Street	Singer, Isaac Bashevis	Fawcett Crest	1981			
9780877734611	The Life and Letters of Tofu Roshi	Moon, Susan Ichi Su	Shambhala	1988	818.5407		
9780874771596	Overcoming writing blocks	PhD. Maureen D. Mack|PhD. Eric Skjei|Mack, Karin|Skjei, Eric W.	J. P. Tarcher	1980	808.02	PN147	health_mind_body_psychology_counseling_general|reference_foreign_languages_general|reference_publishing_books_authorship|reference_writing_writing_skills|authorship|authorship_handbooks_manuals_etc
9780425170618	Delusions of Grandeur	Anderson, Kevin J.	Berkley Publishing Group	1997			amazon_com_childrens_books_literature_science_fiction_fantas|amazon_com_science_fiction_fantasy_science_fiction_general|amazon_com_teens_series_young_jedi_knights|amazon_com_childrens_books_series_science_fiction_star_aaaa1
9780140236460	Wuthering Heights According to Spike Milligan	Milligan, Spike	Penguin Books Ltd	1995			entertainment_humor_general_aas|literature_fiction_general_general_aas|literature_fiction_general_aas
9780745168081	The Handmaid's Tale	Atwood, Margaret Eleanor|Joanna David	Chivers Audio Books	1999	813.0		literature_fiction|reference|science_fiction_fantasy_science_fiction
